account,person_or_entity,public_role,event_or_activity,date,location,participation_evidence,commercial_relevance,source_url,evidence_class
Tanger Med,Mehdi Tazi Riffi and Chawki Benouarrek,CEO and CDO,chainPORT member meeting,2022,Tangier,"Both named in published participant list","International port innovation network",https://www.ajot.com/news/new-chainport-member-tanger-med-welcomes-partner-ports-presidents-cios-and-head-strategists-in-tangier,named_people
Tanger Med,Mohamed Eddoujaji,Head Operational IS and Production,Huawei port AI and intelligent-twin event,2025-09-17,Unknown,"Named speaker discussing congestion and security risks","Operational-system and security-risk speaker",https://e.huawei.com/en/news/2025/industries/waterway/port-ai-intelligent-twin,named_person
Tanger Med,Mohamed Eddoujaji and Toufik Airane,TMPA operational IS and cybersecurity,1337 MED talent partnership activity,2026,Tanger region,"Both named in participant list","Local technology-talent and training route",https://www.linkedin.com/posts/1337-coding-school_1337codingschool-tangermed-partnership-activity-7450919555163611136-oeHB,named_people
ONEE,Tarik Hamane,Group CEO,Powering Africa Summit,2026,Washington DC,"Named participant; presentation summarized","Grid-resilience and water-energy executive focus",https://www.linkedin.com/posts/mgl-network_mrtarik-hamane-ceo-of-moroccos-national-activity-7440447394611105792-naU-,named_person
ONEE,Tarik Hamane,Group CEO,Africa Energy Forum,2026,Cape Town,"Named fireside-chat guest","Infrastructure investor and partner network",https://www.linkedin.com/posts/infinity-power_aef2026-infinitypower-energyinvestment-activity-7474074203546157056-SPUM,named_person
ONEE,Tarik Hamane,Group CEO,AIX Power and Renewables,2025-11-18,London,"Named grid-modernization and gas-to-power panelist","Investor and project-developer route",https://www.linkedin.com/posts/activity-7366411042555367424-MJUJ,named_person
ONEE,Tarik Hamane,Group CEO,APUA Scientific Committee meeting,2026,Marrakech,"Named attendee in participant post","African utility and vendor peer network",https://www.linkedin.com/posts/khaled-aw-tawfik_abb-onee-apua-activity-7445074310249086976-GvPD,named_person_secondary
Managem,Imad Toumi,Chairman and CEO,Giga Africa,2025,Morocco,"Speech quoted by Reminex GM Naoual Zine","Critical-minerals and battery-investment ecosystem",https://www.linkedin.com/posts/zine-naoual-262b3146_stability-vision-execution-these-three-activity-7376324428194017282-8-w2,named_person
Managem,Imad Toumi,Chairman and CEO,Managem Strategy Day,2024,Internal,"Official page names him as host","Executive sponsorship of 2025 projects; internal event",https://www.managemgroup.com/en/immerse-yourself-managem-groups-strategy-day,named_person_official
Managem,Managem Group,Mining group,Marrakech Mining Convention,2019-04-17,Marrakech,"Official company participation page","Government and mining-supplier route; no technical attendee named",https://www.managemgroup.com/en/managem-participates-marrakech-mining-convention,organization
Managem,Naoual Zine,General Manager Reminex,Women in AI activity,2025,Morocco,"Named in OCP Solutions event post","Cross-ecosystem digital/engineering leadership signal",https://fr.linkedin.com/posts/ocp-solutions_womeninai-leadershipfeminin-inclusion-activity-7323020753543585792-hhU1,named_person_secondary
Safran Morocco,Ross McInnes,Chairman Safran,Engine assembly and MRO signing,2025-10-13,Casablanca,"Named speaker/signatory in Reuters report","Executive/government route for new facilities",https://www.reuters.com/business/aerospace-defense/safran-open-new-airbus-engine-assembly-line-morocco-2025-10-13/,named_person_media
Safran Morocco,Ross McInnes,Chairman Safran,Landing-gear plant signing,2026-02-13,Casablanca,"Named speaker/signatory in Reuters report","Repeat senior sponsorship of Morocco buildout",https://www.reuters.com/business/aerospace-defense/safran-open-landing-gear-plant-morocco-2026-02-13/,named_person_media
Safran Morocco,Safran,Supplier organization,Safran Supplier Days,2025,France,"Official corporate event; no Morocco attendee named","Supplier-governance route; not proof of local attendance",https://www.safran-group.com/news/safran-rallies-its-suppliers-around-its-strategic-priorities-2025-04-04,organization
Cosumar,Amine Lahbichi,IT and Digital Transformation Director,Digital Morocco 2030 strategy launch,2024-09-25,Morocco,"Named participant in public event coverage","National digital-policy ecosystem route",https://www.instagram.com/reel/DAVnn7esor9/,named_person_secondary
Cosumar,Groupe Cosumar,Sugar producer,SIAM,2026-04-20,Meknes,"Media coverage of corporate participation","Campaign route; no named technical attendee verified",https://fr.le360.ma/economie/cosumar-au-siam-2026-performance-et-innovation-au-service-de-la-souverainete-sucriere_36XB52HXUZDW3GUDT67WEXC6WQ/,organization
